Year,Afghanistan,Africa,Albania
1900,0,31942752,0
1901,0,35852240,0
1902,0,41678000,0
1903,0,49573920,0
1904,0,58488432,0
1905,0,68747632,0
1906,0,80465104,0
1907,0,93395360,0
1908,0,106798272,0
1909,0,122183408,0
1910,0,139594736,0
1911,0,156460128,0
1912,0,174413728,0
1913,0,194019792,0
1914,0,213570896,0
1915,0,233176960,0
1916,0,256428704,0
1917,0,281772592,0
1918,0,306500928,0
1919,0,331947408,0
1920,0,359998992,0
1921,0,387984624,0
1922,0,411958176,0
1923,0,441006368,0
1924,0,471637408,0
1925,0,503818320,0
1926,0,538256256,0
1927,0,572093296,0
1928,0,606864656,0
1929,0,642672928,0
1930,0,676374400,0
1931,0,705843952,0
1932,0,732473904,0
1933,0,760976160,7328
1934,0,793516144,14656
1935,0,829430672,32976
1936,0,868455936,161216
1937,0,910302480,458000
1938,0,954325440,806080
1939,0,1001184336,1238432
1940,0,1050835200,1930928
1941,0,1104868208,2557472
1942,0,1163697392,3301264
1943,0,1223823632,3762928
1944,0,1290471792,3916816
1945,0,1358002976,4037728
1946,0,1426171696,4521376
1947,0,1494124240,5448368
1948,0,1565869024,6151856
1949,14656,1643223392,7166784
1950,98928,1738164960,7463568
1951,190528,1839368304,7866608
1952,282128,1949793936,8240336
1953,388384,2061872032,8654368
1954,494640,2179512080,9156336
1955,648528,2309041808,9819520
1956,831728,2444302032,10658576
1957,1124848,2586054864,12164480
1958,1454608,2734824256,13366272
1959,1839179,2882665399,14809888
1960,2253063,3039232467,16832416
1961,2743861,3201226721,19111424
1962,3432455,3367561508,21573632
1963,4139191,3543896251,23654784
1964,4977742,3737535480,25669984
1965,5984658,3951169761,27842736
1966,7075817,4172251736,30392880
1967,8357682,4409296748,33071264
1968,9581072,4666578852,36141696
1969,10522304,4944494661,39384336
1970,12192701,5247118415,43125280
1971,14086633,5578986587,47474448
1972,15617799,5930864378,53113344
1973,17255042,6308876953,58400496
1974,19170720,6697285297,62742336
1975,21295245,7084592465,67333328
1976,23279471,7504779055,72279728
1977,25666216,7937798099,77995568
1978,27821636,8400306507,84484512
1979,30056540,8899345945,92065328
1980,31813562,9435008665,97231568
1981,33792934,9983549771,104566896
1982,35888474,10555231206,111869248
1983,38408565,11149714412,119494032
1984,41230980,11798923169,127313008
1985,44732874,12464569744,135186944
1986,47866946,13154157563,143236752
1987,50981106,13843743194,150674672
1988,53838190,14568340496,157995344
1989,56603078,15266086644,166972144
1990,59205485,15923936796,172482800
1991,61631971,16610791075,176766016
1992,63013493,17280348214,179279520
1993,64347330,17989891459,181613488
1994,65629819,18710122956,183537088
1995,66860958,19485633617,185621904
1996,68026093,20279206383,187637104
1997,69110567,21091886368,189179648
1998,70140029,21927216344,190931040
1999,70949598,22755551690,193913536
2000,71717793,23640083267,196932672
2001,72529867,24519201998,200153328
2002,73593942,25403353837,203901600
2003,74781013,26365325805,208192144
2004,75722468,27398417645,212354448
2005,77042718,28442492860,216604688
2006,78685964,29526291008,220499520
2007,80954308,30652623962,224423664
2008,85152637,31830766884,228794816
2009,91912951,33019042498,233169632
2010,100365175,34212826270,237764288
2011,112591192,35411199285,243000144
2012,123333249,36645041459,247906240
2013,133333663,37895685023,252966224
2014,143122849,39186174236,258678400
2015,153230277,40475177493,264626124
2016,165488185,41785833882,270898982
2017,178502925,43117573841,277278189
